a,124,0.037575757575757575
v,40,0.012121212121212121
e,484,0.14666666666666667
r,256,0.07757575757575758
g,64,0.019393939393939394
ö,36,0.01090909090909091
ß,16,0.0048484848484848485
t,168,0.05090909090909091
S,36,0.01090909090909091
c,104,0.03151515151515152
h,132,0.04
l,84,0.025454545454545455
f,44,0.013333333333333334
ä,20,0.006060606060606061
n,348,0.10545454545454545
s,140,0.04242424242424243
i,248,0.07515151515151515
U,20,0.006060606060606061
.,64,0.019393939393939394
o,52,0.01575757575757576
?,8,0.0024242424242424242
d,116,0.03515151515151515
z,32,0.009696969696969697
u,96,0.02909090909090909
m,72,0.02181818181818182
(,12,0.0036363636363636364
+,12,0.0036363636363636364
),12,0.0036363636363636364
w,28,0.008484848484848486
M,8,0.0024242424242424242
k,48,0.014545454545454545
ü,16,0.0048484848484848485
b,48,0.014545454545454545
E,24,0.007272727272727273
I,12,0.0036363636363636364
N,4,0.0012121212121212121
G,16,0.0048484848484848485
A,40,0.012121212121212121
B,20,0.006060606060606061
p,12,0.0036363636363636364
C,20,0.006060606060606061
Ä,4,0.0012121212121212121
W,16,0.0048484848484848485
D,8,0.0024242424242424242
R,8,0.0024242424242424242
K,4,0.0012121212121212121
T,40,0.012121212121212121
-,20,0.006060606060606061
L,12,0.0036363636363636364
F,4,0.0012121212121212121
P,12,0.0036363636363636364
H,8,0.0024242424242424242
V,4,0.0012121212121212121
Z,8,0.0024242424242424242
&,4,0.0012121212121212121
:,4,0.0012121212121212121
>,4,0.0012121212121212121
O,4,0.0012121212121212121
